Scenario,Keywords,Layout_Rules,Notes,Motion_Baseline,Animation_Constraint
Landing Page,landing page landing-page homepage marketing site product page hero conversion brand showcase,首屏英雄区占满视口、CTA 是页面内最大色块、滚动叙事每段至少一个全宽视觉锚点; 居中大标题是 AI 默认 Hero——从 Vibe 推导替代（分屏/左对齐/非对称），标题 ≤ 2 行、副标 ≤ 20 字、文字元素 ≤ 4; hero 禁装饰噪音（编号 eyebrow 001· / 滚动提示 ↓ / 版本标 BETA / 纯装饰圆点）; 背景装饰限 Hero 区、内容区克制; 布局家族轮换：zigzag 连续 ≤ 2 组（超出改网格）、禁 3 列等宽卡片、同布局不连用 3 次; 信任微条（logo 墙/媒体 badge）在 Hero 下方独占一行、不嵌入段落,conversion-focused,7,首屏入场必须写清元素+动作+时序；英雄区入场动效最大一次；滚动触发区块最多 2 个连续 parallax 层
Dashboard,dashboard admin panel analytics bi business intelligence monitoring data ops console,KPI 数字用超大字号做视觉锚点; 色编码传达数据优先级; 密集但有层级; 背景保持纯色或极低饱和度，禁止光晕/粒子等装饰干扰数据阅读,data-dense,2,数据刷新加载动画；禁止页面级入场动效干扰数据扫读
Ecommerce,ecommerce e-commerce shop retail marketplace storefront commerce product catalog purchase,产品图占主导面积; 价格用强调色高亮; 购买按钮始终可见; 背景保持中性，产品图是唯一视觉主角，禁止背景装饰与商品竞争,transaction-focused,5,商品卡片 hover lift；购物车添加弹跳；禁止全屏转场
Productivity Tool,tool utility productivity editor calculator tracker note notes task manager organizer,内容/操作区占视口主导（工具栏与侧栏只承担辅助）; 高频操作按钮常驻顶栏或浮动栏（不藏二级菜单）; 处理中/成功/失败用色块+图标即时反馈; 纯平面背景，禁止空间感装饰,function-over-form,2,状态反馈动画；禁止滚动驱动叙事
Mobile App,mobile app ios app android app miniprogram native app touch single-column,单列布局，核心操作底部常驻或浮动; 触控区域饱满，主操作 CTA 横向铺满（减安全边距）; 按钮与标签内元素水平居中，禁止 web 式左对齐; 多列并列内容横向等分，禁止纵向堆叠; 空状态与引导页内容居中; 禁止模块间 z-stack 重叠覆盖（装饰性小角度旋转 < 5° 除外）; 背景中性（近白/#F8F8F8 级灰阶、深灰或近纯黑），禁止 Primary/Accent 稀释染色变体（淡蓝/淡粉/淡绿）作为背景,touch-first,4,弹窗/底部抽屉 spring 滑入；页面切换 horizontal slide；禁止持续循环氛围动效
Marketing H5,campaign event festive gala invitation holiday promotional brand h5 activity lunar-new-year greeting card,全屏沉浸式画面; 信息密度低、留白多; 视觉冲击优先于功能; 动效驱动情绪节奏; 全屏氛围背景（光晕/渐变网格/粒子）是体验核心,display-focused,9,首屏入场必须写清元素+动作+时序；全屏沉浸入场；允许持续环境动效（周期 ≥ 3s，幅度 ≤ 20%）
Official Website,official website company corporate about-us enterprise organization institution school university government,信息层级清晰：导航→品牌主张→业务板块→资质/合作→联系方式; 品牌色贯穿但不压制内容; 多页结构各页保持视觉统一; 可信度元素（logo 墙/数据/资质）需专属视觉节奏，logo 用真实 SVG 非纯文字; 背景克制、品牌气质靠字体间距而非装饰; 禁 3 列等宽卡片与编号 eyebrow（001·）,brand-institutional,4,scroll-triggered section reveal；禁止持续 hero 动画
Survey / Form,survey form questionnaire feedback poll quiz registration sign-up onboarding wizard step,单列居中、一屏一题或分步引导; 输入区域视觉焦点最大化; 进度指示器常驻; 选项间距宽松、触控友好; 背景退让且低对比（纯白/极浅灰/深灰黑优先）; 允许极弱氛围层（subtle gradient/soft radial glow/light noise）但输入区域必须保持最高视觉权重; 页面色彩对比集中于 CTA 与当前焦点输入区域; 非交互区域主动降对比; 禁止高饱和背景、大面积品牌染色、复杂插画与输入区域竞争; 提交按钮是唯一主强调色; 表单容器避免重边框与强阴影，优先留白建立层级,input-focused,1,步骤切换过渡; 进度条填充; 禁止持续氛围动画与装饰性背景运动
Blog / Content,blog article content editorial news post reader wiki documentation knowledge-base guide,正文阅读区 60-75ch 行宽; 标题/正文/引用字号层级 ≥ 3 级; 侧边栏（目录/标签）不抢正文注意力; 图文混排节奏（每 3-5 段插入视觉锚点）; 背景纯净无装饰、护眼为先,reading-optimized,2,图片懒加载 fade-in；无其他动效
Portfolio / Showcase,portfolio showcase gallery exhibit work case-study project creative photographer artist designer,作品图/视频占主导面积（≥ 60% 视口）; UI 极简退让、让作品说话; 网格/瀑布流/全屏轮播择一; 悬停交互揭示项目信息; 背景深色或纯白衬托作品; 导航轻量不遮挡; page 级 eyebrow 标签数量 ≤ ceil(N/3)（N = 可见内容块数）,work-first,6,首屏入场必须写清元素+动作+时序；项目卡片 hover reveal；作品切换过渡
Admin Console,admin manage backend console setting config crud table list user-management permission role,顶部或侧边放 KPI 概览卡片（数字+趋势箭头）提供数据全局感; 主体区域表格/列表为核心视图; 批量操作工具栏常驻; 筛选/搜索/分页三件套标配; 表单布局左对齐标签+右侧输入; 信息密度高但行间距足够扫读; 纯平面背景、无装饰,data-crud,1,行 hover 背景；筛选面板 slide；无装饰动效
Chat / Messaging,chat message conversation im chatbot ai-chat customer-service dialogue bubble thread,对话气泡左右分列（或单侧+头像）; 输入框底部常驻; 消息流自动滚动到最新; 代码块/图片/文件有内联预览; 背景极简不干扰阅读; 时间戳与状态不抢主内容,conversation-flow,3,气泡入场 slide-up；typing indicator；无其他
Map-Centric,map location navigation route gps ride-hailing delivery logistics travel nearby poi,地图占视口 ≥ 50%; 信息面板叠加在地图上（底部抽屉或侧边栏）; 地图标记用品牌色系; 路线/区域用半透明填充; UI 控件浮动在地图上层; 状态信息（ETA/距离）大字号常驻,map-dominant,3,路线描绘动画；底部抽屉 spring；POI pin 弹入
