No,Font_Name_CN,Font_Name_EN,Font_Family,Category,Mood_Keywords,Best_For,Best_For_CN,Weights,CDN_URL,CDN_URL_Template,Usage,平台,language
1,OPPOSans,OPPOSans,OPPOSans,sans,corporate formal enterprise steady systematic functional navigation,enterprise admin backend B2B console government finance,企业管理台 后台系统 商务 地图导航,Regular,OPPOSans4.0.ttf,,both,APP,简体、西文
2,思源宋体,Source Han Serif CN,Source Han Serif CN,serif,classical literary refined scholarly timeless,literature long-form reading content platform magazine book publishing,文学阅读 内容平台 杂志 出版,ExtraLight Light Regular Medium SemiBold Bold Heavy,SourceHanSerifCN-Regular.woff2,SourceHanSerifCN-{weight}.woff2,body,,简体、日文、西文
3,思源等宽,Source Han Mono SC,Source Han Mono SC,mono,monospaced code programming developer cli terminal log,developer-tool code-editor terminal log-viewer ide cli programming data-table numeric-readout,开发者工具 代码编辑器 终端 日志,ExtraLight Light Normal Regular Bold Heavy,SourceHanMonoSC-Regular.woff2,SourceHanMonoSC-{weight}.woff2,body,APP,简体、日文、西文
4,未来荧黑,Glow Sans SC,GlowSansSC-Normal,sans,futuristic sci-fi luminous glow cyberpunk,sci-fi futuristic cyberpunk neon gaming hud space tech-fiction,科幻 赛博朋克 霓虹 游戏 太空,Thin ExtraLight Light Book Regular Medium Bold ExtraBold Heavy,GlowSansSC-Normal-Regular.woff2,GlowSansSC-Normal-{weight}.woff2,body,APP,简体、日文、西文
5,寒蝉点阵体7px,ChillBitmap 7px,ChillBitmap_7px,pixel,retro 8-bit miniature tiny pixel,pixel-art indie-game retro arcade chip-tune 8-bit badge,像素游戏 独立游戏 复古街机 徽章,Regular,ChillBitmap_7px.woff2,,heading,,简体、日文、西文
6,寒蝉点阵体16px,ChillBitmap 16px,ChillBitmap_16px,pixel,retro pixel chunky blocky display large,retro-game pixel-headline arcade-title display blocky nostalgic,复古游戏标题 像素大字 街机标题,Regular,ChillBitmap_16px.ttf,,heading,,简体、日文、西文
7,寒蝉无机体,Chill Inorganic,ChillInorganic,display,mechanical angular industrial rigid brutalist,industrial manufacturing robot factory mecha hardware engineering,工业制造 机器人 机甲 硬件工程,CompactRegular CompactMedium Regular Medium WideRegular WideMedium,ChillInorganic_CompactRegular.woff2,ChillInorganic_{weight}.woff2,heading,,简体、日文、西文
8,云峰飞云体,YunFeng FeiYun,YunFengFeiYun,display,flowing fantasy dreamy ethereal whimsical,fantasy fairy-tale mythology dreamy story illustration whimsical,奇幻童话 神话 梦幻 故事插画,Regular,YunFengFeiYun.woff2,,heading,,简体、西文
9,典迹八一,DianJi BaYi,dianjibayi,display,military commemorative powerful patriotic solemn,military memorial patriotic campaign veteran national-day,军事纪念 爱国 公益 退伍 国庆,Regular,dianjibayi.woff2,,heading,,简体、日文、西文
10,文道潮黑,WenDao Chao Hei,WenDaoChaoHei,sans,trendy bold urban street edgy,street fashion youth culture graffiti hip-hop gen-z rebellious,街头文化 潮流 嘻哈 叛逆,Regular,WenDaoChaoHei.woff2,,body,,简体、日文、西文
11,方正仿宋,FZ FangSong,FZFSK,serif,official government formal institutional regulatory,government policy regulation official-document legal compliance,政务公文 政策法规 正式文件 合规,Regular,FZFSK.woff2,,body,,简体、日文、西文
12,方正楷体,FZ KaiTi,FZKTK,serif,calligraphic traditional heritage classical chinese-culture ink-wash,chinese-culture heritage museum history ancient-text ink-wash guochao,国学教育 文化遗产 博物馆 历史,Regular,FZKTK.woff2,,body,,简体、日文、西文
13,极影毁片文宋,JiYing WenSong,JiYingHuiPianWenSong,serif,deconstructed experimental avant-garde glitch,avant-garde experimental typography creative destruction art-exhibition,先锋实验 解构排版 艺术展,Regular,JiYingHuiPianWenSong.ttf,,heading,,简体、日文、西文
14,极影毁片辉宋,JiYing HuiSong,JiYingHuiPianHuiSong,serif,retro vintage nostalgic film-grain analog,retro film photography vintage magazine analog darkroom,复古胶片 老照片 怀旧杂志 暗房,Regular,JiYingHuiPianHuiSong-2.woff2,,heading,,简体、日文、西文
15,江城尖刃黑,JiangCheng JianRen Hei,JiangChengJianRenHei,sans,sharp fierce aggressive cutting intense,esports competitive gaming tournament fighting combat championship,电竞赛事 格斗 锦标赛 对抗,Regular,JiangChengJianRenHei.ttf,,heading,,简体、日文、西文
16,江城律动黑,JiangCheng LvDong Hei,JiangChengLuDongHei,sans,rhythmic groovy dynamic motion energetic,music dance fitness workout sports-tracking rhythm active,音乐舞蹈 健身运动 运动追踪 活力,Regular,JiangChengLuDongHei.woff2,,heading,,简体、日文、西文
17,江西拙楷,JiangXi Zhuo Kai,JiangXiZhuoKai,handwriting,rustic artisanal handmade pastoral earthy,craft bakery cafe farm-to-table organic rural artisan pottery,手作烘焙 咖啡 田园 农场 陶艺,Regular,JiangXiZhuoKai.woff2,,heading,,简体、西文
18,源泉圆体,GenSen Maru Gothic,GenSenMaruGothicTW,rounded,japandi wabi-sabi muji slow-living zen lifestyle wellness,japandi lifestyle wellness habit-tracker daily-planner muji slow-living recipe food cooking nature,日系极简 无印风 生活方式 习惯追踪 健康,ExtraLight Light Regular Medium Bold Heavy,GenSenMaruGothicTW-Regular.woff2,GenSenMaruGothicTW-{weight}.woff2,body,,繁体、日文、西文
19,濑户体,Xiaolai,Xiaolai,rounded,kawaii handwritten casual stationery cute chibi,stationery bullet-journal kawaii diary planner handwritten note cute scrapbook,可爱文具 日记 手帐 卡哇伊,Regular,Xiaolai-Regular-Font.woff2,,heading,,简体、日文、西文
20,抖音美好体,Douyin Sans Bold,DouyinSansBold,display,social youthful lively cheerful viral,social media short-video influencer campaign cheerful viral app,社交媒体 短视频 网红 活泼 营销,Bold,DouyinSansBold.ttf,,heading,,简体、日文、西文
21,资源圆体,Resource Han Rounded,ResourceHanRoundedCN,rounded,steady reliable rounded calm approachable,healthcare medical wellness patient-facing form questionnaire,医疗健康 问卷 表单 亲和力,Regular,ResourceHanRoundedCN-Regular.ttf,,body,APP,简体、日文、西文
22,Anton,Anton,Anton,display,impactful massive condensed poster dramatic,poster billboard banner headline hero massive condensed western,海报 大字报 横幅 巨幅标题 西文,Regular,Anton-Regular.woff2,,both,,西文
23,Coda,Coda,Coda,display,technical tabular data monospace-like numeric navigation distance,data-table technical specification engineering metric readout western navigation distance eta route,数据表格 技术规格 工程数据 导航距离 西文,Regular,Coda-Regular.woff2,,heading,,西文
24,Nunito,Nunito,Nunito,sans,friendly warm approachable inviting soft navigation,saas education consumer onboarding welcome landing-page western navigation map location app,SaaS落地页 教育 消费品 引导页 导航 西文,Variable(100-900),Nunito-VariableFont_wght.ttf,,both,APP,西文
25,PlayfairDisplay,Playfair Display,Playfair Display,serif,luxury high-end premium couture refined,luxury fashion couture jewelry wine premium branding western,奢侈品 时尚 珠宝 红酒 高端品牌 西文,Variable(400-900),PlayfairDisplay-VariableFont_wght.woff2,,heading,,西文
26,Montserrat,Montserrat,Montserrat,sans,geometric structured authoritative presentation,pitch-deck investor startup presentation branding western,路演 投资 创业 演示 品牌 西文,Variable(100-900),Montserrat-VariableFont_wght.ttf,,both,APP,西文
27,GildaDisplay,Gilda Display,Gilda Display,serif,ceremonial ornate stately regal decorative,wedding invitation ceremony award gala decorative headline western,婚礼请柬 颁奖 典礼 仪式感 西文,Regular,GildaDisplay-Regular.woff2,,heading,,西文
28,马栅正,Ma Shan Zheng,MaShanZheng,display,brush calligraphic chinese-trend festive expressive,chinese-new-year spring-festival national-trend guochao festive calligraphy,国潮 春节 新年 书法 节庆,Regular,MaShanZheng-Regular.ttf,,heading,,简体、西文
29,寒蝉有机体,Chill Organic,ChillOrganic,display,organic biomorphic botanical flowing nature,wellness eco sustainability botanical garden plant nature spa,生态环保 植物 自然疗愈 水疗,Regular Medium,ChillOrganic_Regular.woff2,ChillOrganic_{weight}.woff2,heading,,简体、日文、西文
30,杨任东竹石体,YangRenDong ZhuShi,YangRenDongZhuShiTi,handwriting,handwritten brush-pen personal intimate warm,personal-diary journal memoir letter heartfelt warm intimate,个人日记 回忆录 书信 温暖 手写,Regular Semibold,YangRenDongZhuShiTi-Regular.ttf,YangRenDongZhuShiTi-{weight}.ttf,heading,,简体、西文
31,HONOR Sans,HONOR Sans,HONORSans,sans,dynamic clear efficient modern social-media,News,荣耀打造的一款帮助信息高效传递的动态字体,ArabicUI_Bold ArabicUI_DemiBold ArabicUI_ExtraBold ArabicUI_ExtraLight ArabicUI_Heavy ArabicUI_Light ArabicUI_Medium ArabicUI_Regular ArabicUI_Thin DemiBold ExtraBold ExtraLight Heavy Light Medium Regular Thin,HONORSans_Regular.ttf,HONORSans_{weight}.ttf,body,APP,简体、西文
32,HarmonyOS Sans,HarmonyOS Sans,HarmonyOSSans,sans,neutral modern clean versatile digital ui,admin dashboards,HarmonyOS 系统默认字体 鸿蒙字体,Black Bold Light Medium Regular Thin,HarmonyOSSans_Regular.ttf,HarmonyOSSans_{weight}.ttf,both,APP,西文
33,IBM Plex Sans,IBM Plex Sans,IBMPlexSans,sans,Corporate grotesque with engineered precision and humanist touch.,tech product / Multilingual interface,,Bold ExtraLight Italic Light Medium Regular SemiBold Text Thin,IBMPlexSans_Regular.ttf,IBMPlexSans_{weight}.ttf,both,,西文
34,Mi Sans,Mi Sans,MiSans,sans,Balanced geometric shapes with subtle warmth for seamless digital experiences,Brand official website / Backend system / Smart home / Tech product saas startup product settings fintech onboarding,小米在 MIUI 13 中推出全新系统字体 Mi Sans,Bold DemiBold ExtraLight Heavy Light Medium Normal Regular SemiBold Thin,MiSans_Regular.ttf,MiSans_{weight}.ttf,both,APP,简体、西文
35,vivo Sans,vivo Sans,vivoSans,sans,modern clean neutral versatile corporate,brand official-website marketing landing-page corporate-site,vivo Sans字体由vivo与方正字库携手设计,Bold DemiBold ExtraLight Heavy Light Medium Regular Thin,vivoSans_Regular.ttf,vivoSans_{weight}.ttf,both,APP,简体、西文
36,优设标题黑,You She Biao Ti Hei,YouSheBiaoTiHei,sans,bold powerful dynamic professional impactful headline,Poster headlines,一款适用性广，速度感、力量感极强的专业美术标题字体,Regular,YouSheBiaoTiHei_Regular.ttf,,heading,,简体
37,霞鹜漫黑,Lxgw Marker Gothic,LxgwMarkerGothic,sans,bold modern strong urban advertising sans-serif,Scrapbook,一款由 Tanugo 衍生的开源中文字体,Regular,LxgwMarkerGothic_Regular.ttf,,both,,简体
38,钟齐流江毛笔草体,Liu Jian Mao Cao,LiuJianMaoCao,handwriting,brush spontaneous artistic traditional wedding,F&B branding,谷歌开源中的毛笔书法字体,Regular,LiuJianMaoCao_Regular.ttf,,heading,,简体
39,千图厚黑体,Qian Tu Hou Hei,QianTuHouHei,sans,Bold heavy strokes deliver undeniable presence for impactful headlines.,Advertisement poster,适用于活动海报、品牌活动的标题,Regular,QianTuHouHei_Regular.ttf,,heading,,简体
40,字魂扁桃体,Zi Hun Bian Tao,ZiHunBianTao,sans,"Squat, rounded forms bring playful friendliness to creative branding",Children's education / Maternity & baby e-commerce / Casual mini-games / Fun mini-games,得意黑进行二次创作永久免费商用的字体,Regular,ZiHunBianTao_Regular.ttf,,heading,,简体
41,庞门正道标题体,Pang Men Title,PangMenTitle,sans,bold modern impactful headline strong,ad banners,庞门正道标题体免费版,Regular,PangMenTitle_Regular.ttf,,heading,,简体
42,得意黑,Smiley Sans,SmileySans,sans,modern narrow geometric corporate dynamic,brand headline dynamic editorial fashion statement,在人文观感和几何特征中寻找视觉平衡的现代窄斜体,Oblique,SmileySans_Oblique.ttf,,heading,,简体
44,有爱黑体 CN,Nowar Hans CN,NowarHansCN,rounded,rounded friendly warm approachable branding,corporate websites / Logo,《魔兽世界》和《魔兽世界：经典怀旧服》字体包,Bold Condensed CondensedBook Extended ExtendedBook FullwidthWarcraft FullwidthWarcraftBook Light Medium SemiBold,NowarHansCN_Bold.ttf,NowarHansCN_{weight}.ttf,body,APP,日文、简体、西文、韩文
45,标小智无界黑,Logo SC Unbounded Sans,LogoSCUnboundedSans,sans,bold impactful modern logo headline,event key visuals / Logo,适合用于logo设计、标题、海报和包装,Regular,LogoSCUnboundedSans_Regular.ttf,,heading,,简体
46,江城黑体,Jiang Cheng Hei,JiangChengHei,sans,neutral versatile modern readable corporate,enterprise backend editorial content article documentation reading longform,基于思源黑体改造,Bold ExtraLight Light Medium Regular SemiBold Thin,JiangChengHei_Regular.ttf,JiangChengHei_{weight}.ttf,both,,简体
48,金山云技术体,Kingsoft Cloud Font,KingsoftCloudFont,sans,cloud SaaS tech enterprise brand professional,cloud platform SaaS enterprise tech brand heading,“金山云技术体”是一款无衬线体,Regular,KingsoftCloudFont_Regular.ttf,,heading,,简体
49,千图小兔体,Qian Tu Xiao Tu,QianTuXiaoTu,display,cute playful feminine soft children,Kindergarten,适用于各类可爱、少女风的 海报和店招场景,Regular,QianTuXiaoTu_Regular.ttf,,heading,,简体
50,方舟像素字体,Ark Pixel Font,ArkPixelFont,pixel,pixel bitmap monospace retro terminal indie game,pixel-art indie-game retro terminal command-line,,Ja Ko Latin ZhCN ZhHK ZhTR ZhTW,ArkPixelFont_Ja.ttf,ArkPixelFont_{weight}.ttf,heading,,日文、简体、繁体、韩文
52,大宝桃桃体,Da Bao Tao Tao,DaBaoTaoTao,display,playful cute childlike children friendly,picture book,十分适用于儿童，母婴产品以及萌系动画等场合,Regular,DaBaoTaoTao_Regular.ttf,,heading,,简体
53,朱雀仿宋,Zhuque Fangsong,ZhuqueFangsong,serif,elegant refined literary classical editorial,digital,支持多语言的正文仿宋字体,Regular,ZhuqueFangsong_Regular.ttf,,body,,简体
54,沐瑶软笔手写体,Muyao Softbrush,MuyaoSoftbrush,handwriting,soft casual free-flowing personal wedding,social feeds,送给大家的免费字体,Regular,MuyaoSoftbrush_Regular.ttf,,heading,,简体
56,润植家如印奏章楷,Run Zhi Jia Zou Zhang Kai,RunZhiJiaZouZhangKai,display,scholarly formal balanced clear education,journals,专用于大量文字，作为正文，竖排和横屏都好看,Regular,RunZhiJiaZouZhangKai_Regular.ttf,,heading,,简体、西文
57,演示夏行楷,Yan Shi Xia Xing Kai,YanShiXiaXingKai,handwriting,freehand casual flowing friendly natural wedding,note-taking tools,免费可商用手写字体,Regular,YanShiXiaXingKai_Regular.ttf,,heading,,简体
58,演示春风楷,Yan Shi Chun Feng Kai,YanShiChunFengKai,handwriting,casual friendly handwritten social-media natural,personal blogs,免费可商用手写字体,Regular,YanShiChunFengKai_Regular.ttf,,heading,,简体
60,钟齐志莽行书,Zhi Mang Xing,ZhiMangXing,handwriting,dynamic fluid expressive calligraphic cultural,wedding,谷歌开源中的行书书法字体,Regular,ZhiMangXing_Regular.ttf,,heading,,简体
61,阿里妈妈东方大楷,Ali Moma Dong Fang Da Kai,AliMomaDongFangDaKai,handwriting,traditional elegant formal brush cultural,retro design,基于颜真卿的多宝塔碑算法生成并结合人力完成的一套字库,Regular,AliMomaDongFangDaKai_Regular.ttf,,heading,,简体
62,霞鹜新晰黑,LXGW Neo Xi Hei,LXGWNeoXiHei,sans,modern clean neutral standardized corporate,OS interfaces dashboard data analytics monitoring console reporting metrics,基于 IPAex黑体 的中文开源字体，是将日本写法的字体改造成中国大陆规范写法的尝试,Regular,LXGWNeoXiHei_Regular.ttf,,body,APP,简体、繁体
63,霞鹜新致宋,LXGW Neo Zhi Song,LXGWNeoZhiSong,serif,classic elegant refined readable editorial serif,screen reading interfaces,基于 IPAmj明朝 的中文开源字体，是将日本写法的字体改造成中国大陆规范写法的尝试。,Regular,LXGWNeoZhiSong_Regular.ttf,,body,,简体
64,黄令东细线体,RRPL,RRPL,display,creative delicate intricate modern artistic editorial,Electronic music posters,递归根式包装语言(RRPL)进行编写,Regular,RRPL_Regular.ttf,,heading,,繁体
67,辰宇落雁體,Chen Yuluoyan,ChenYuluoyan,handwriting,personal warm casual handwritten flowing social-media,emotional branding design,繁体手写字体,Thin,ChenYuluoyan_Thin.ttf,,heading,,繁体
68,阿里巴巴普惠体 TC,Alibaba Sans TC,AlibabaSansTC,sans,clean modern traditional neutral government,E-commerce public-sector institutional official formal civic notice,阿里巴巴发布全球永久免费正版商用的字体家族,ExtraBold Light Regular SemiBold,AlibabaSansTC_Regular.ttf,AlibabaSansTC_{weight}.ttf,body,APP,繁体、西文
69,精品点阵体7×7 扫描线,Jing Pin Zhen Zhen,JingPinZhenZhen,pixel,"pixel scanline font, for retro game",Retro / Experimental / Gaming,,CircleDot Regular ScanLine SquareDot,JingPinZhenZhen_Regular.ttf,JingPinZhenZhen_{weight}.ttf,heading,,繁体、西文
70,Inter,Inter,Inter,sans,"highly legible sans-serif typeface designed for screens, ideal for UI and corporate use.",Mobile,,Variable Italic,"Inter_Inter[opsz,wght].ttf",,body,APP,西文
71,Roboto,Roboto,Roboto,sans,"Modern, geometric, legible sans-serif",responsive design,,Italic Variable,"Roboto_Roboto[wdth,wght].ttf",,body,APP,西文
72,Outfit,Outfit,Outfit,sans,"Premium geometric sans‑serif, brings high‑end feel to digital products.",event key visuals,,Regular,Outfit_Regular.ttf,,both,,西文
73,Unbounded,Unbounded,Unbounded,sans,Unbounded is a sans-serif with distinctive chevron stems,Tech product branding,,Regular,Unbounded_Regular.ttf,,heading,,西文
74,Bangers,Bangers,Bangers,sans,Bangers is a bold comic-book display font,Compact headlines,,Regular,Bangers_Regular.ttf,,heading,,西文
75,Bungee,Bungee,Bungee,sans,urban 3D shadow display bold vibrant,comic books,,Regular,Bungee_Regular.ttf,,heading,,西文
76,Open Sans,Open Sans,OpenSans,sans,"Neutral humanist sans‑serif, widely used for body text and responsive design.",content-heavy mobile views,,Italic Variable,"OpenSans_OpenSans[wdth,wght].ttf",,body,,西文
77,Lato,Lato,Lato,sans,"Warm, transparent body text with strong personality at larger sizes.",Corporate portals,,Black Bold ExtraLight Italic Light Medium Regular SemiBold Thin,Lato_Regular.ttf,Lato_{weight}.ttf,body,,西文
