No,Product Type,Keywords,Primary Style Recommendation,Secondary Styles,Landing Page Pattern,Dashboard Style (if applicable),Color Palette Focus,Key Considerations
1,SaaS (General),"app, b2b, cloud, general, saas, software, subscription",Glassmorphism SaaS (Light Web) + Soft UI Evolution,"SaaS Soft Glass, Dark Cinematic SaaS, Flat Design, Startup Fresh, Admin Pro Light, Dimensional Layering, Hero-Centric Design, Interactive Product Demo",Hero + Features + CTA,Data-Dense + Real-Time Monitoring,Trust blue + accent contrast,Balance modern feel with clarity. Focus on CTAs.
2,Micro SaaS,"app, b2b, cloud, indie, micro, micro-saas, niche, saas, small, software, solo, subscription",SaaS Soft Glass + Vibrant & Block-based,"Glassmorphism SaaS (Light Web), Motion-Driven, Micro-interactions, Startup Fresh, Hero-Centric Design, Interactive Product Demo",Minimal & Direct + Demo,Executive Dashboard,Vibrant primary + white space,"Keep simple, show product quickly. Speed is key."
3,E-commerce,"buy, commerce, e, ecommerce, products, retail, sell, shop, store",Vibrant & Block-based,"Aurora UI, Motion-Driven, Product Showcase Minimal, 3D Product Preview, Y2K Aesthetic, Social Proof-Focused",Feature-Rich Showcase,Sales Intelligence Dashboard,Brand primary + success green,Engagement & conversions. High visual hierarchy.
4,E-commerce Luxury,"buy, commerce, e, ecommerce, elegant, exclusive, high-end, luxury, premium, products, retail, sell, shop, store",Liquid Glass + Glassmorphism,"3D & Hyperrealism, Aurora UI, Minimalist Monochrome",Feature-Rich Showcase,Sales Intelligence Dashboard,Premium colors + minimal accent,Elegance & sophistication. Premium materials.
5,B2B Service,"appointment, b, b2b, booking, business, consultation, corporate, enterprise, service",Glassmorphism SaaS (Light Web) + Trust & Authority,"SaaS Soft Glass, Feature-Rich Showcase, Conversion-Optimized, Admin Pro Light, Hero-Centric Design, Social Proof-Focused",Feature-Rich Showcase,Sales Intelligence Dashboard,Professional blue + neutral grey,Credibility essential. Clear ROI messaging.
6,Financial Dashboard,"admin, analytics, dashboard, data, financial, panel",Glassmorphism SaaS (Light Web) + Data-Dense Dashboard,"Dark Cinematic SaaS, Dark Mode (OLED), Minimalism & Swiss Style, Editorial Enterprise, Executive Dashboard",N/A - Dashboard focused,Financial Dashboard,Trust blue + amber data highlights,"High contrast, real-time updates, accuracy paramount."
7,Analytics Dashboard,"admin, analytics, dashboard, data, panel",Data-Dense Dashboard + Heat Map & Heatmap Style,"Glassmorphism SaaS (Light Web), Minimalism & Swiss Style, Dark Mode (OLED), Playful SaaS Dashboard, Predictive Analytics, Comparative Analysis Dashboard, Executive Dashboard, Drill-Down Analytics, User Behavior Analytics",N/A - Analytics focused,Drill-Down Analytics + Comparative,Cool→Hot gradients + neutral grey,Clarity > aesthetics. Color-coded data priority.
8,Healthcare App,"app, clinic, health, healthcare, medical, patient",Neumorphism + Accessible & Ethical,"Soft UI Evolution, Claymorphism, Clinical Clean Mobile",Social Proof-Focused,User Behavior Analytics,Calm blue + health green + trust,Accessibility mandatory. Calming aesthetic.
9,Educational App,"app, course, education, educational, learning, school, training",Claymorphism + Micro-interactions,"Vibrant & Block-based, Flat Design",Storytelling-Driven,User Behavior Analytics,Playful colors + clear hierarchy,Engagement & ease of use. Age-appropriate design.
10,Creative Agency,"agency, creative, design, marketing, studio",Brutalism + Motion-Driven,"Retro-Futurism, Storytelling-Driven, Interactive Cursor Design, Pentagram Supergraphics",Storytelling-Driven,N/A - Portfolio focused,Bold primaries + artistic freedom,Differentiation key. Wow-factor necessary.
11,Portfolio/Personal,"creative, personal, portfolio, projects, showcase, work",Motion-Driven + Minimalism & Swiss Style,"Brutalism, Aurora UI",Storytelling-Driven,N/A - Personal branding,Brand primary + artistic interpretation,Showcase work. Personality shine through.
12,Gaming,"entertainment, esports, game, gaming, play",3D & Hyperrealism + Retro-Futurism,"Motion-Driven, Vibrant & Block-based, Skeuomorphism, Vaporwave",Feature-Rich Showcase,N/A - Game focused,Vibrant + neon + immersive colors,Immersion priority. Performance critical.
13,Government/Public Service,"appointment, booking, consultation, government, public, service",Accessible & Ethical + Minimalism & Swiss Style,"Flat Design, Accessible & Ethical, Aicher Pictogram System",Minimal & Direct,Executive Dashboard,Professional blue + high contrast,WCAG AAA mandatory. Trust paramount.
14,Fintech/Crypto,"banking, blockchain, crypto, defi, finance, fintech, money, nft, payment, web3",Glassmorphism + Dark Mode (OLED),"Retro-Futurism, Motion-Driven, Cyberpunk Mobile HUD, SaaS Mobile (High-Tech Boutique), Financial Dashboard",Conversion-Optimized,Real-Time Monitoring + Predictive,Dark tech colors + trust + vibrant accents,Security perception. Real-time data critical.
15,Social Media App,"app, community, content, entertainment, media, network, sharing, social, streaming, users, video",Vibrant & Block-based + Motion-Driven,"Aurora UI, Micro-interactions, Social Warm Mobile, User Behavior Analytics",Feature-Rich Showcase,User Behavior Analytics,Vibrant + engagement colors,Engagement & retention. Addictive design ethics.
16,Productivity Tool,"collaboration, productivity, project, task, tool, workflow",Dark Cinematic SaaS + Micro-interactions,"SaaS Soft Glass, Minimalism & Swiss Style, Flat Design, Playful SaaS Dashboard, Warm SaaS Mobile, Admin Pro Light, Material You (MD3 Mobile)",Interactive Product Demo,Drill-Down Analytics,Clear hierarchy + functional colors,Ease of use. Speed & efficiency focus.
17,Design System/Component Library,"component, design, library, pattern, storybook, ui-kit",Minimalism & Swiss Style + Accessible & Ethical,"Flat Design, Zero Interface",Feature-Rich Showcase,N/A - Dev focused,Clear hierarchy + code-like structure,Consistency. Developer-first approach.
18,AI/Chatbot Platform,"ai, artificial-intelligence, automation, chatbot, machine-learning, ml, platform",AI-Native UI + Dark Cinematic SaaS,"Zero Interface, Glassmorphism, SaaS Soft Glass, Voice-First Multimodal",Interactive Product Demo,AI/ML Analytics Dashboard,Neutral + AI Purple (#6366F1),Conversational UI. Streaming text. Context awareness. Minimal chrome.
19,NFT/Web3 Platform,"blockchain, collectible, marketplace, mint, nft, token, web3",Cyberpunk UI + Glassmorphism,"Aurora UI, 3D & Hyperrealism, Bitcoin DeFi (Mobile)",Feature-Rich Showcase,Crypto/Blockchain Dashboard,Dark + Neon + Gold (#FFD700),Wallet integration. Transaction feedback. Gas fees display. Dark mode essential.
20,Creator Economy Platform,"content, creator, influencer, monetize, patreon, streamer, subscription",Vibrant & Block-based + Bento Grids,"Motion-Driven, Aurora UI, Risograph Mobile, Risograph Editorial, Neo Brutalism (Mobile)",Social Proof-Focused,User Behavior Analytics,Vibrant + Brand colors,Creator profiles. Monetization display. Engagement metrics. Social proof.
21,Remote Work/Collaboration Tool,"async, collaboration, distributed, hybrid, remote, team, virtual, work",Soft UI Evolution + Minimalism & Swiss Style,"Glassmorphism, Micro-interactions, Notion Warm Workspace",Feature-Rich Showcase,Drill-Down Analytics,Calm Blue + Neutral grey,Real-time collaboration. Status indicators. Video integration. Notification management.
