No,Style Category,Design_DNA,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Complexity,Signature_Elements,Composition_Rules
1,Minimalism & Swiss Style,mathematical precision,General,"Clean, simple, spacious, functional, white space, high contrast, geometric, sans-serif, grid-based, essential","Monochromatic, Black #000000, White #FFFFFF","Neutral (Beige #F5F1E8, Grey #808080, Taupe #B38B6D), Primary accent",Gentle card-press scale-down with shadow shrink on tap; staggered slide-up list reveal on load; scroll-triggered section fade-in; smooth icon color crossfade on navigation switch; spring easing 250-350ms ease-out,"Enterprise apps, dashboards, documentation sites, SaaS platforms, professional tools","Creative portfolios, entertainment, playful brands, artistic experiments",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,Low,Soft diffused top-light casting ultra-low-opacity large-radius card shadows for floating depth; crisp neutral-white ambient tone; generous breathing whitespace as structural element; single-weight rule lines for quiet hierarchy,Grid-driven layout with consistent column rhythm; Generous negative space between content blocks; Center-aligned hero with single primary focal point
2,Neumorphism,sculpted light surface,General,"Soft UI, embossed, debossed, convex, concave, light source, subtle depth, rounded (12-16px), monochromatic","Light pastels: Soft Blue #C8E0F4, Soft Pink #F5E0E8, Soft Grey #E8E8E8","Tints/shades (±30%), gradient subtlety, color harmony","Soft box-shadow (multiple: -5px -5px 15px, 5px 5px 15px), smooth press (150ms), inner subtle shadow","Health/wellness apps, meditation platforms, fitness trackers, minimal interaction UIs","Complex apps, critical accessibility, data-heavy dashboards, high-contrast required",✓ Full,◐ Partial,⚡ Good,⚠ Low contrast,✓ Good,Medium,Dual inner/outer soft shadows creating extruded tactile depth; monochromatic surface foundation with single accent tone; uniform moderate rounding across all components; surfaces feel pressed into or out of the background,Uniform soft elevation hierarchy with no harsh edges; predictable compact spacing scale; explicit hover/focus/active states using accent tone
3,Glassmorphism,ethereal layered transparency,General,"Frosted glass, transparent, blurred background, layered, vibrant background, light source, depth, multi-layer","Translucent white: rgba(255,255,255,0.1-0.3)","Vibrant: Electric Blue #0080FF, Neon Purple #8B00FF, Vivid Pink #FF1493, Teal #20B2AA",Background color-field slow breathing drift; card hover lifts shadow spread and brightens inner glow; spring scroll with elastic edge rebound; button press scale-down with glow ripple; staggered card entrance 300-400ms ease-out; long-cycle background halo pulse,"Modern SaaS, financial dashboards, high-end corporate, lifestyle apps, modal overlays, navigation","Low-contrast backgrounds, critical accessibility, performance-limited, dark text on dark",✓ Full,✓ Full,⚠ Good,⚠ Ensure 4.5:1,✓ Good,Medium,Frosted translucent card layers over soft-focus color backdrop; environment-tinted diffuse shadows that pick up nearby hues; left-upper light source with subtle inner highlight edge; multi-layer depth via varying blur intensity and border luminance,Layered depth through overlapping translucent surfaces; Dynamic content blocks with varied sizes and color accents
4,Brutalism,raw confrontation,General,"Raw, unpolished, stark, high contrast, plain text, default fonts, visible borders, asymmetric, anti-design","Primary: Red #FF0000, Blue #0000FF, Yellow #FFFF00, Black #000000, White #FFFFFF","Limited: Neon Green #00FF00, Hot Pink #FF00FF, minimal secondary","No smooth transitions (instant), sharp corners (0px), bold typography (700+), visible grid, large blocks","Design portfolios, artistic projects, counter-culture brands, editorial/media sites, tech blogs","Corporate environments, conservative industries, critical accessibility, customer-facing professional",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,◐ Medium,Low,Stark concrete-inspired neutral palette anchored by terracotta or vivid accent on CTAs; single typeface across all hierarchy relying on weight and scale alone; clear content blocks separated by whitespace not borders; unadorned interactive states without decorative flourishes,Asymmetric balance to create visual tension; headline → support → primary action hierarchy in every block; constrained spacing scale enforcing vertical rhythm
5,3D & Hyperrealism,tangible digital objects,General,"Depth, realistic textures, 3D models, spatial navigation, tactile, skeuomorphic elements, rich detail, immersive","Deep Navy #001F3F, Forest Green #228B22, Burgundy #800020, Gold #FFD700, Silver #C0C0C0","Complex gradients (5-10 stops), realistic lighting, shadow variations (20-40% darker)","WebGL/Three.js 3D, realistic shadows (layers), physics lighting, parallax (3-5 layers), smooth 3D (300-400ms)","Gaming, product showcase, immersive experiences, high-end e-commerce, architectural viz, VR/AR","Low-end mobile, performance-limited, critical accessibility, data tables/forms",◐ Partial,◐ Partial,❌ Poor,⚠ Not accessible,✗ Low,High,Photorealistic material surfaces rendered in real-time 3D with physically-based lighting; depth-of-field blur on background layers creating cinematic focal hierarchy; interactive object rotation with inertia and environmental reflection mapping; hero elements float in spatial depth with volumetric shadow casting,Layered depth through overlapping translucent surfaces; Spatial depth through perspective and layering
6,Vibrant & Block-based,maximalist energy burst,General,"Bold, energetic, playful, block layout, geometric shapes, high color contrast, duotone, modern, energetic","Neon Green #39FF14, Electric Purple #BF00FF, Vivid Pink #FF1493, Bright Cyan #00FFFF, Sunburst #FFAA00","Complementary: Orange #FF7F00, Shocking Pink #FF006E, Lime #CCFF00, triadic schemes","Large sections (48px+ gaps), animated patterns, bold hover (color shift), scroll-snap, large type (32px+), 200-300ms","Startups, creative agencies, gaming, social media, youth-focused, entertainment, consumer","Financial institutions, healthcare, formal business, government, conservative, elderly",✓ Full,✓ Full,⚡ Good,◐ Ensure WCAG,✓ High,Medium,"Oversized saturated color blocks stacked vertically as structural dividers; large-scale sans-serif type set directly on vivid fills without card intermediaries; bold geometric shapes (circles, triangles) used as container backgrounds; section transitions marked by full-width color shifts rather than whitespace",Grid-driven layout with consistent column rhythm; Asymmetric balance to create visual tension; Dynamic content blocks with varied sizes and color accents
7,Dark Mode (OLED),dramatic void theater,General,"Dark theme, low light, high contrast, deep black, midnight blue, eye-friendly, OLED, night mode, power efficient","Deep Black #000000, Dark Grey #121212, Midnight Blue #0A0E27","Vibrant accents: Neon Green #39FF14, Electric Blue #0080FF, Gold #FFD700, Plasma Purple #BF00FF",Slow noise-particle drift on dark backgrounds; Ken Burns subtle zoom on hero imagery; list-item press darkens background with spring rebound; navigation icon scale-up with highlight crossfade; staggered bottom-up card reveal 300-400ms spring easing; warm-gold focus-ring glow on input,"Night-mode apps, coding platforms, entertainment, eye-strain prevention, OLED devices, low-light","Print-first content, high-brightness outdoor, color-accuracy-critical",✗ No,✓ Only,⚡ Excellent,✓ WCAG AAA,✓ High,Low,High-contrast dramatic lighting with single-side cold-white key light on geometric elements; sharp light-dark boundary lines; fine grain noise texture on deep surfaces; subtle warm-gold accent glow on focal interactive elements; zero ambient shadow — hierarchy via luminance steps only,Dark surface hierarchy with light text for depth
8,Accessible & Ethical,universal clarity,General,"High contrast, large text (16px+), keyboard navigation, screen reader friendly, WCAG compliant, focus state, semantic","WCAG AA/AAA (4.5:1 min), simple primary, clear secondary, high luminosity (7:1+)","Symbol-based colors (not color-only), supporting patterns, inclusive combinations","Clear focus rings (3-4px), ARIA labels, skip links, responsive design, reduced motion, 44x44px touch targets","Government, healthcare, education, inclusive products, large audience, legal compliance, public",None - accessibility universal,✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,Low,High contrast; large text; keyboard navigation; screen reader friendly; Clear focus rings,Single-column reading flow with predictable landmark regions; generous tap targets in a linear sequence; no overlapping layers or floating elements that obscure content
9,Claymorphism,playful tactile weight,General,"Soft 3D, chunky, playful, toy-like, bubbly, thick borders (3-4px), double shadows, rounded (16-24px)","Pastel: Soft Peach #FDBCB4, Baby Blue #ADD8E6, Mint #98FF98, Lilac #E6E6FA, light BG","Soft gradients (pastel-to-pastel), light/dark variations (20-30%), gradient subtle",Spring squish scale-down on press with shadow collapse; floating background blobs with slow drift; card entrance with bouncy overshoot; haptic-weight transitions 250-350ms spring easing; toggle slides with rubber-band snap,"Educational apps, children's apps, SaaS platforms, creative tools, fun-focused, onboarding, casual games","Formal corporate, professional services, data-critical, serious/medical, legal apps, finance",✓ Full,◐ Partial,⚡ Good,⚠ Ensure 4.5:1,✓ High,Medium,Multi-layer soft shadows stacking inner and outer to simulate clay depth; matte surface feel — no gloss or reflections; bubbly oversized rounding on all surfaces; monochromatic pastel base with single vivid accent; toy-like chunky proportions,Dynamic content blocks with varied sizes and color accents; Spatial depth through perspective and layering
10,Aurora UI,luminous color atmosphere,General,"Vibrant gradients, smooth blend, Northern Lights effect, mesh gradient, luminous, atmospheric, abstract","Complementary: Blue-Orange, Purple-Yellow, Electric Blue #0080FF, Magenta #FF1493, Cyan #00FFFF","Smooth transitions (Blue→Purple→Pink→Teal), iridescent effects, blend modes (screen, multiply)","Large flowing CSS/SVG gradients, subtle 8-12s animations, depth via color layering, smooth morph","Modern SaaS, creative agencies, branding, music platforms, lifestyle, premium products, hero sections","Data-heavy dashboards, critical accessibility, content-heavy where distraction issues",✓ Full,✓ Full,⚠ Good,⚠ Text contrast,✓ Good,Medium,Vibrant gradients; smooth blend; Northern Lights effect; mesh gradient; Large flowing CSS/SVG gradients,Dynamic content blocks with varied sizes and color accents; Color transitions as spatial navigational cues
