No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
1,SaaS (General),#2563EB,#FFFFFF,#3B82F6,#FFFFFF,#EA580C,#0F172A,#FFFFFF,#1E293B,#FFFFFF,#1E293B,#E9EFF8,#64748B,#E2E8F0,#DC2626,#FFFFFF,#2563EB,cloud platform service software tool,Trust blue + orange CTA contrast [Accent adjusted from #F97316 for WCAG 3:1]
2,Micro SaaS,#027CBA,#FFFFFF,#0EA5E9,#FFFFFF,#16A34A,#0F172A,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E8F2F8,#64748B,#E5E5E5,#DC2626,#FFFFFF,#027CBA,cloud platform service software tool,Tech sky blue + orange CTA; bg neutralized
3,E-commerce,#04875F,#FFFFFF,#10B981,#0F172A,#7C3AED,#FFFFFF,#FFFFFF,#064E3B,#FFFFFF,#064E3B,#E8F1F3,#64748B,#E5E5E5,#DC2626,#FFFFFF,#059669,hyperlocal services,Success green + urgency orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized
4,E-commerce Luxury,#59493E,#FFFFFF,#44403C,#FFFFFF,#A16207,#FFFFFF,#FAFAF9,#0C0A09,#FFFFFF,#0C0A09,#E8ECF0,#64748B,#D6D3D1,#DC2626,#FFFFFF,#59493E,boutique exclusive high-end premium upscale luxury premium brand,Premium dark + gold accent [Accent adjusted from #CA8A04 for WCAG 3:1]
5,B2B Service,#203159,#FFFFFF,#334155,#FFFFFF,#0369A1,#FFFFFF,#FAFAF9,#020617,#FFFFFF,#020617,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#203159,government public service,Professional navy + blue CTA
6,Financial Dashboard,#203159,#FFFFFF,#1E293B,#FFFFFF,#D97706,#0F172A,#020617,#F8FAFC,#0E1223,#F8FAFC,#282E48,#94A3B8,#354358,#EF4444,#FFFFFF,#203159,analytics bank banking data finance fintech metrics money monitor overview,Dark bg + amber data highlights
7,Analytics Dashboard,#1E40AF,#FFFFFF,#3B82F6,#FFFFFF,#0D9488,#0F172A,#F8FAFC,#1E3A8A,#FFFFFF,#1E3A8A,#E9EEF6,#64748B,#DBEAFE,#DC2626,#FFFFFF,#1E40AF,analytics chart dashboard data metrics monitor overview tracking,Blue data + amber highlights [Accent adjusted from #F59E0B for WCAG 3:1]
8,Healthcare App,#07819F,#FFFFFF,#22D3EE,#0F172A,#4F46E5,#FFFFFF,#FFFFFF,#164E63,#FFFFFF,#164E63,#E8F1F6,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0891B2,clinic health hospital medical wellness,Calm cyan + health green; bg neutralized
9,Educational App,#1E40AF,#FFFFFF,#3B82F6,#FFFFFF,#EA580C,#0F172A,#FFFFFF,#1E3A8A,#FFFFFF,#1E3A8A,#E9EEF6,#64748B,#BFDBFE,#DC2626,#FFFFFF,#1E40AF,education learn learning school study teaching,Rich academic blue + energetic orange; bg neutralized
10,Creative Agency,#D71676,#FFFFFF,#F472B6,#0F172A,#059669,#0F172A,#FDF2F8,#831843,#FFFFFF,#831843,#F1EEF5,#64748B,#FBCFE8,#DC2626,#FFFFFF,#EC4899,advertising creative marketing promotion studio marketing agency,Bold pink + cyan accent [Accent adjusted from #06B6D4 for WCAG 3:1]
11,Portfolio/Personal,#3E3E59,#FFFFFF,#3F3F46,#FFFFFF,#2563EB,#FFFFFF,#FAFAFA,#09090B,#FFFFFF,#09090B,#E8ECF0,#64748B,#E4E4E7,#DC2626,#FFFFFF,#3E3E59,personal project resume showcase work,Monochrome + blue accent
12,Gaming,#7C3AED,#FFFFFF,#A78BFA,#0F172A,#F43F5E,#0F172A,#0F0F23,#E2E8F0,#1E1C35,#E2E8F0,#31314A,#94A3B8,#5822AC,#EF4444,#FFFFFF,#7C3AED,arcade entertainment fun game play puzzle,Neon purple + rose action
13,Fintech/Crypto,#F59E0B,#0F172A,#FBBF24,#0F172A,#8655F6,#FFFFFF,#0F172A,#F8FAFC,#222735,#F8FAFC,#2E374D,#94A3B8,#3B4B62,#EF4444,#FFFFFF,#F59E0B,bank banking bitcoin blockchain cryptocurrency defi finance financial money web3,Gold trust + purple tech
14,Social Media App,#DA1C46,#FFFFFF,#FB7185,#0F172A,#2563EB,#FFFFFF,#FFF1F2,#881337,#FFFFFF,#881337,#F0ECF2,#64748B,#FECDD3,#DC2626,#FFFFFF,#E11D48,social network community feed posts sharing followers,Vibrant rose + engagement blue
15,Productivity Tool,#0B8177,#FFFFFF,#14B8A6,#0F172A,#EA580C,#0F172A,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0D9488,efficiency organize task tool work,Teal focus + action orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized
16,Design System/Component Library,#475569,#FFFFFF,#64748B,#FFFFFF,#16A34A,#0F172A,#FAFAFA,#1E293B,#FFFFFF,#1E293B,#EAEFF3,#64748B,#E2E8F0,#DC2626,#FFFFFF,#475569,component kit library system ui,Neutral slate + doc hierarchy orange
17,AI/Chatbot Platform,#0F766E,#FFFFFF,#14B8A6,#0F172A,#7C3AED,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F0F3,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0F766E,ai assistant bot conversation virtual,Deep teal + warm amber CTA; bg neutralized
18,NFT/Web3 Platform,#8655F6,#FFFFFF,#A78BFA,#0F172A,#0891B2,#0F172A,#0F0F23,#F8FAFC,#1E1D35,#F8FAFC,#31314A,#94A3B8,#5822AC,#EF4444,#FFFFFF,#8655F6,blockchain collectible crypto decentralized digital nft token web3,Purple tech + gold value
19,Creator Economy Platform,#D71676,#FFFFFF,#F472B6,#0F172A,#A855F7,#0F172A,#FDF2F8,#831843,#FFFFFF,#831843,#F1EEF5,#64748B,#E5E5E5,#DC2626,#FFFFFF,#EC4899,content creative influencer media social,Creator pink + engagement orange [Accent adjusted from #F97316 for WCAG 3:1]
20,Remote Work/Collaboration Tool,#0B8177,#FFFFFF,#14B8A6,#0F172A,#DB2777,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0D9488,remote work collaboration team meeting virtual office productivity,Collaborative teal + warm amber; bg neutralized
21,Mental Health App,#166534,#FFFFFF,#22C55E,#0F172A,#059669,#0F172A,#FAFAFA,#14532D,#FFFFFF,#14532D,#E8F0F1,#64748B,#BBF7D0,#DC2626,#FFFFFF,#166534,clinic healthcare hospital medical wellness,Healing forest green + wellness emerald; bg neutralized
22,Pet Tech App,#BF5104,#FFFFFF,#FB923C,#0F172A,#2563EB,#FFFFFF,#FFF7ED,#9A3412,#FFFFFF,#9A3412,#F1F0F0,#64748B,#FED7AA,#DC2626,#FFFFFF,#F97316,animal cat dog kitten puppy,Playful orange + trust blue
23,Smart Home/IoT Dashboard,#2D3E59,#FFFFFF,#334155,#FFFFFF,#06B6D4,#0F172A,#0F172A,#F8FAFC,#1B2336,#F8FAFC,#2E374D,#94A3B8,#475569,#EF4444,#FFFFFF,#2D3E59,analytics automation connected data decoration device home house interior iot living metrics monitor overview residential sensor smart,Dark tech + cyan status indicators
24,EV/Charging Ecosystem,#07819F,#FFFFFF,#22D3EE,#0F172A,#16A34A,#0F172A,#FFFFFF,#164E63,#FFFFFF,#164E63,#E8F1F6,#64748B,#A5F3FC,#DC2626,#FFFFFF,#0891B2,electric vehicle charging station ev battery energy green,Electric cyan + eco green [Accent adjusted from #22C55E for WCAG 3:1]; bg neutralized
25,Subscription Box Service,#C012DA,#FFFFFF,#E879F9,#0F172A,#EA580C,#0F172A,#FDF4FF,#86198F,#FFFFFF,#86198F,#F0EEF9,#64748B,#F5D0FE,#DC2626,#FFFFFF,#D946EF,box membership package recurring,Excitement purple + urgency orange [Accent adjusted from #F97316 for WCAG 3:1]
26,Podcast Platform,#242059,#FFFFFF,#312E81,#FFFFFF,#E11D48,#FFFFFF,#0F0F23,#F8FAFC,#1B1B30,#F8FAFC,#31314A,#94A3B8,#4338CA,#EF4444,#FFFFFF,#242059,audio episode listen show streaming,Dark audio + warm accent
27,Dating App,#DA1C46,#FFFFFF,#FB7185,#0F172A,#7C3AED,#FFFFFF,#FFF1F2,#881337,#FFFFFF,#881337,#F0ECF2,#64748B,#FECDD3,#DC2626,#FFFFFF,#E11D48,love match relationship romance social,Romantic rose + warm orange [Accent adjusted from #F97316 for WCAG 3:1]
28,Micro-Credentials/Badges Platform,#0369A1,#FFFFFF,#0EA5E9,#0F172A,#E11D48,#FFFFFF,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0369A1,credentials badges certification learning achievement digital certificate,Trust blue + achievement gold [Accent adjusted from #CA8A04 for WCAG 3:1]; bg neutralized
29,Knowledge Base/Documentation,#475569,#FFFFFF,#64748B,#FFFFFF,#0D9488,#0F172A,#FAF9F5,#1E293B,#FFFFFF,#1E293B,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#475569,documentation faq guide reference wiki,Neutral grey + link blue
30,Beauty/Spa/Wellness Service,#D71676,#FFFFFF,#F9A8D4,#0F172A,#7C3AED,#FFFFFF,#FDF2F8,#831843,#FFFFFF,#831843,#F1EEF5,#64748B,#FBCFE8,#DC2626,#FFFFFF,#EC4899,beauty calm cosmetic health mindfulness relaxation salon selfcare skincare spa wellness,Soft pink + lavender luxury [Accent darkened from #8B5CF6 for WCAG]
